dataset,pos_rate_min,pos_rate_median,pos_rate_max,groups
ref,0.014705882352941176,0.02289284476784477,0.04945054945054945,110
my,0.006191950464396285,0.02954163860404671,0.0774818401937046,144
my_w,0.006191950464396285,0.02954163860404671,0.0774818401937046,144
