stage,mean_f1,std_f1,mean_precision,std_precision,mean_recall,std_recall,total_pos,total_neg,n_folds,evaluation
Stage 1: RefTech on RefData,0.8322155418254986,0.08333544374979665,0.7914241873304817,0.1402714045349889,0.8922544305496096,0.04782516811739878,1344,54918,5,standard
Stage 2: MyMethod on RefData,0.8424851618105587,0.043982358855602595,0.8959986010749634,0.06602655465373108,0.7977972168958861,0.055854344811139926,1344,54918,5,standard
Stage 3: RefTech on MyData+W,0.998894460646123,0.0010098583071158403,1.0,0.0,0.9977929899245084,0.0020159954142136513,1344,54918,5,standard
Stage 4: MyMethod on MyData+W,0.9992641464132209,0.0010082472230198572,1.0,0.0,0.9985309973045823,0.0020127841715718337,1344,54918,5,standard
