group_id,n,pos,neg,pos_rate,dataset
2024_Imola,1035,20,1015,0.01932367149758454,my_w
2024_Jeddah,694,16,678,0.023054755043227664,my_w
2024_LasVegas,756,37,719,0.04894179894179894,my_w
2024_Lusail,727,38,689,0.052269601100412656,my_w
2024_MarinaBay,960,19,941,0.019791666666666666,my_w
2024_Melbourne,791,32,759,0.040455120101137804,my_w
2024_MexicoCity,973,18,955,0.018499486125385406,my_w
2024_Miami,906,22,884,0.024282560706401765,my_w
2024_Monaco,969,6,963,0.006191950464396285,my_w
2024_Montréal,1027,35,992,0.034079844206426485,my_w
2024_Monza,816,25,791,0.030637254901960783,my_w
2024_Sakhir,924,38,886,0.04112554112554113,my_w
2024_Shanghai,805,34,771,0.0422360248447205,my_w
2024_Silverstone,774,38,736,0.04909560723514212,my_w
2024_Spa-Francorchamps,675,27,648,0.04,my_w
2024_Spielberg,1161,36,1125,0.031007751937984496,my_w
2024_Suzuka,692,28,664,0.04046242774566474,my_w
2024_SãoPaulo,868,13,855,0.014976958525345621,my_w
2024_YasIsland,832,26,806,0.03125,my_w
2024_Zandvoort,1182,21,1161,0.017766497461928935,my_w
