config,feature_selection,calibrate_proba,target_encoding,drop_target_encoded_cols,balanced_subsample,neg_pos_ratio,threshold_metric,min_precision,ensemble_size,mean_f1,std_f1,mean_fbeta,std_fbeta,mean_precision,std_precision,mean_recall,std_recall,mean_pr_auc,std_pr_auc,mean_threshold,std_threshold,mean_feature_count
no_calibration,True,False,True,False,False,4.0,f1,0.1,1,0.15676931303315306,0.015065521787245415,0.20451668513273058,0.08568978642223124,0.12682207549328606,0.032666945477345,0.28818989071038253,0.20603661934327697,0.09947115415160696,0.002150938243354333,0.7025777697563171,0.16205024925214243,31.0
te_drop_cols,True,True,True,True,False,4.0,f1,0.1,1,0.1554993678887484,0.01933734027997011,0.21806038742690767,0.013190627357548659,0.10550893827800456,0.018481136326936248,0.29979098360655737,0.006659554849043795,0.09016999968717546,0.012668717234579694,0.06826029411088276,0.014711528204781936,30.0
threshold_fbeta,True,True,True,False,False,4.0,fbeta,0.1,1,0.13792560999464049,0.012327568021739784,0.2523188566839568,0.02207969474197137,0.07856275850930275,0.007098083213745979,0.5643838797814207,0.04650482877033166,0.09138955834263211,0.010313770621448894,0.036338652133437274,0.0003025891242847124,31.0
no_feature_selection,False,True,True,False,False,4.0,f1,0.1,1,0.0815930617368481,0.11539001450379582,0.12107972634288423,0.17123259112252978,0.052861156291586574,0.0747569641502856,0.17875,0.2527906742741907,0.1136078102549575,0.013533577552331175,0.18803183878247362,0.1622948214317824,64.0
no_target_encoding,True,True,False,False,False,4.0,f1,0.1,1,0.07614617940199335,0.1076869596331938,0.10591497227356746,0.14978639024764942,0.0518552036199095,0.07333433223889443,0.14325,0.20258609280994586,0.09760007358390597,0.013629325434602739,0.15366050890793279,0.0951085667758349,31.0
base,True,True,True,False,False,4.0,f1,0.1,1,0.07530774800868936,0.10650123858566395,0.10919781604367915,0.1544290324304934,0.04963410754056634,0.07019322804015361,0.156,0.22061731573020282,0.09138955834263211,0.010313770621448894,0.18579724134895165,0.1492240494652054,31.0
threshold_recall_at_precision,True,True,True,False,False,4.0,recall_at_precision,0.12,1,0.07383575089977097,0.10441952031045756,0.11157624101786538,0.15779263328607446,0.04721718510252476,0.06677518354907137,0.16925,0.23935564543164634,0.09138955834263211,0.010313770621448894,0.20053766163115228,0.17902422273230092,31.0
balanced_ratio_3,True,True,True,False,True,3.0,f1,0.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018763713517706906,0.0005924157127789244,0.26520315617488577,0.004274108848588808,31.0
