stage,mean_f1,std_f1,mean_fbeta,std_fbeta,mean_precision,std_precision,mean_recall,std_recall,mean_pr_auc,std_pr_auc,threshold,std_threshold,n_splits,beta
Stage 1: RefTech on RefData,0.8322155418254986,0.08333544374979665,0.86501490099108,0.04610675406578134,0.7914241873304817,0.1402714045349889,0.8922544305496096,0.04782516811739878,0.9168955125919356,0.07059536360647267,0.7427829921245575,0.29542832570581706,5,2.0
Stage 2: MyMethod on RefData,0.8424851618105587,0.043982358855602595,0.8147652513375181,0.04840399164961012,0.8959986010749634,0.06602655465373108,0.7977972168958861,0.055854344811139926,0.8757261445179367,0.06945493350037905,0.7129002213478088,0.0994751826003976,5,2.0
Stage 3: RefTech on MyData+W,0.13025599210771274,0.014422780664482337,0.22112786762963849,0.019159121341631676,0.07741481228916179,0.010117535421527707,0.4170910819633969,0.039929686738408625,0.07137814994993473,0.009700031478888722,0.3935124635696411,0.052280912834350456,5,2.0
Stage 4: MyMethod on MyData+W,0.15058440654922506,0.018436295640780084,0.2416128655803437,0.028913811412032937,0.09358292348136224,0.0160522555533277,0.4286300659289126,0.12346392609707921,0.08642577420475288,0.010266594547485089,0.19512965083122252,0.033995120737408964,5,2.0
